Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
snoc (build n)/1000/[] (++ [x]),2.598899206109421e-3,2.596271661430022e-3,2.6018186057074236e-3,9.358791616488202e-6,7.491185743325132e-6,1.2397180033346107e-5
snoc (build n)/1000/Vector snoc,2.796625994456712e-4,2.7890875588255313e-4,2.805006012731714e-4,2.7614343349761413e-6,2.267068614440142e-6,3.5272708559052304e-6
snoc (build n)/1000/PVector snoc,1.8337384933166946e-5,1.8329136104022363e-5,1.8346776665631778e-5,3.004896313167076e-8,2.422428593642817e-8,3.58060251235065e-8
snoc (build n)/1000/Seq |>,1.417745458038773e-5,1.4173112738074465e-5,1.4183429554817705e-5,1.839016220890114e-8,1.444406502268075e-8,2.7160540267985505e-8
fromList/1000/Vector,4.138035333255199e-6,4.133511422963718e-6,4.142412941795928e-6,1.541888681043421e-8,1.282649982930179e-8,1.9018506573074415e-8
fromList/1000/PVector,7.356337698754477e-6,7.354187087664549e-6,7.359728788926746e-6,9.074295794886284e-9,5.739877701016196e-9,1.5144039093219657e-8
fromList/1000/Seq,6.139248772769542e-6,6.134637579175356e-6,6.148171082797511e-6,2.124791855024283e-8,1.297734328201567e-8,3.103989730468018e-8
index (middle)/1000/[] (!!),6.200121763704257e-7,6.199295386808273e-7,6.202346737866875e-7,4.093990004385543e-10,2.3246760228321462e-10,7.676323886481e-10
index (middle)/1000/Vector,8.35715024342115e-9,8.352021877237541e-9,8.363726154706402e-9,1.867760826633444e-11,1.4714069670307215e-11,2.7587827631660633e-11
index (middle)/1000/PVector,1.1056006553341814e-8,1.1041658801668737e-8,1.1077115154895175e-8,6.195719716168754e-11,4.7080282865187676e-11,8.317348577186041e-11
index (middle)/1000/Seq,4.2892282514057766e-8,4.276773532756548e-8,4.303107271851903e-8,4.518233968552651e-10,3.814852152563484e-10,5.310885372776134e-10
head/1000/[],8.421971738420298e-9,8.420797292022217e-9,8.423393538331111e-9,4.45204916158278e-12,3.136120009253645e-12,6.46874452153488e-12
head/1000/Vector,8.669645305387616e-9,8.668290073910884e-9,8.6719936666109e-9,5.634551383507073e-12,3.498247335951533e-12,1.0756271383736925e-11
head/1000/PVector,1.13995092601736e-8,1.1389480781801135e-8,1.1408439714190278e-8,3.113347620630327e-11,2.5471007043672267e-11,3.716011111408225e-11
head/1000/Seq,1.0783154765819828e-8,1.077989217743814e-8,1.0786659122441636e-8,1.1172479925731891e-11,8.609054381788512e-12,1.538728025642769e-11
last/1000/[],1.2780306864554018e-6,1.276762490264993e-6,1.2789740491491148e-6,3.6378457766798687e-9,2.73031483823796e-9,4.4338175720012754e-9
last/1000/Vector,8.15731407902717e-9,8.155690845007568e-9,8.159533969380934e-9,6.476628040713945e-12,5.047435813754194e-12,9.69258665196286e-12
last/1000/PVector,8.49889822329381e-9,8.481981293503903e-9,8.518349055645625e-9,6.324187304796735e-11,5.350519917480671e-11,8.041843801804989e-11
last/1000/Seq,1.0655458598803307e-8,1.0644299544104394e-8,1.0667674175472515e-8,4.027929305481022e-11,3.2249525965252556e-11,5.1997530424472847e-11
"update (single, middle, nf)/1000/Vector",1.4239296099305326e-6,1.4203764204985998e-6,1.427118874467411e-6,1.1057140824731378e-8,8.930778821850958e-9,1.4234414647692627e-8
"update (single, middle, nf)/1000/PVector",5.1171839617423884e-6,5.115438413305908e-6,5.119571196580919e-6,6.70001750691451e-9,5.076943858664935e-9,9.976356428733049e-9
"update (single, middle, nf)/1000/Seq",3.75590576826573e-6,3.749904442588426e-6,3.764086457292256e-6,2.3999928938395096e-8,1.700325557180916e-8,2.9253538881217847e-8
