Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
snoc (build n)/1000/[] (++ [x]),2.6206360924279555e-3,2.617822973576359e-3,2.6234530964610336e-3,9.199849936118213e-6,7.556838096843432e-6,1.0837088427688564e-5
snoc (build n)/1000/Vector snoc,2.9328862395595906e-4,2.919073251753891e-4,2.9446406373988097e-4,4.365029636410561e-6,3.1543997738280774e-6,6.10400711446911e-6
snoc (build n)/1000/PVector snoc,1.846164911488561e-5,1.845457971414337e-5,1.8473607703984544e-5,3.0247670262530366e-8,1.9686802478530012e-8,5.2795871324325375e-8
snoc (build n)/1000/Seq |>,1.3454992002676531e-5,1.3448703762600302e-5,1.346046029755542e-5,1.982961880626932e-8,1.6473957856666473e-8,2.6657101099941577e-8
fromList/1000/Vector,4.241898985543213e-6,4.237729476424031e-6,4.245112646673336e-6,1.2071568419333764e-8,8.950728183005607e-9,1.8521173208403622e-8
fromList/1000/PVector,7.522110290463793e-6,7.517858099888882e-6,7.5306623661392605e-6,1.982739775825219e-8,7.804437155613758e-9,3.1293915448398223e-8
fromList/1000/Seq,5.56079475351571e-6,5.558753616119635e-6,5.563372901168526e-6,8.289127756653635e-9,6.93616702236419e-9,1.0709792812164394e-8
index (middle)/1000/[] (!!),6.19222432587349e-7,6.191563264427123e-7,6.193322235162966e-7,2.776028611540823e-10,1.9948240522545868e-10,4.219661312147658e-10
index (middle)/1000/Vector,8.214667631879798e-9,8.211790026074278e-9,8.21688346837799e-9,8.624974179122345e-12,6.782737242767432e-12,1.1581608792879581e-11
index (middle)/1000/PVector,1.209538107455993e-8,1.2077847607847914e-8,1.2111034238524352e-8,5.296807876236521e-11,4.466035209578142e-11,6.569860755429392e-11
index (middle)/1000/Seq,4.330416525340563e-8,4.319075937623033e-8,4.342853104823278e-8,3.9586999199356303e-10,3.3071776928792556e-10,4.825851504922157e-10
head/1000/[],7.94063957623219e-9,7.939401656030864e-9,7.942531382875986e-9,4.982008198694427e-12,3.8460079507235545e-12,7.076216284259874e-12
head/1000/Vector,7.955744951722649e-9,7.947578990885314e-9,7.994643872621905e-9,5.0102648245736416e-11,3.882194541575171e-12,1.1451500356598258e-10
head/1000/PVector,1.2278350049305571e-8,1.2193501404162839e-8,1.2359250468402245e-8,2.7939246836542503e-10,2.333202301243914e-10,3.474705127237536e-10
head/1000/Seq,1.065835084671418e-8,1.0656091857920641e-8,1.0661287500315144e-8,8.462416870308161e-12,6.265184026352625e-12,1.2352715606038508e-11
last/1000/[],1.2686129179167804e-6,1.2685425732831315e-6,1.2687256202093251e-6,2.954382864425089e-10,1.9192580729560413e-10,5.048587976066897e-10
last/1000/Vector,8.156619494237987e-9,8.155246247855057e-9,8.159858606048956e-9,7.0444473169250726e-12,3.713392952599447e-12,1.3034821189854145e-11
last/1000/PVector,8.662436378530465e-9,8.660005145225626e-9,8.664457633082252e-9,7.319918581935148e-12,5.76868949719373e-12,9.841450765940949e-12
last/1000/Seq,1.0652577555782545e-8,1.0650144006884415e-8,1.0655604215314423e-8,8.679584874855925e-12,6.955227466925293e-12,1.2035398820468553e-11
"update (single, middle, nf)/1000/Vector",1.5376740489463082e-6,1.5342849412482655e-6,1.5408128792355757e-6,1.078552013999784e-8,8.926929797586946e-9,1.3505411515696514e-8
"update (single, middle, nf)/1000/PVector",5.2714951018408295e-6,5.270935056124972e-6,5.27227199019836e-6,2.2281701061537206e-9,1.7750360259802275e-9,2.9018140932100156e-9
"update (single, middle, nf)/1000/Seq",3.1584269777105497e-6,3.156806887915676e-6,3.1598909033125765e-6,5.112314898866447e-9,4.408695769112582e-9,6.069265905194408e-9
"update (single, middle, whnf)/1000/Vector",5.043500606478152e-7,5.025634385861796e-7,5.069091776028945e-7,7.085631293181904e-9,5.52568423872281e-9,9.203842391739427e-9
