Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
snoc (build n)/1000/[] (++ [x]),2.6747841101736653e-3,2.665467696931899e-3,2.702943638126315e-3,5.078013251943033e-5,8.897545135481555e-6,9.949407027304118e-5
snoc (build n)/1000/Vector snoc,2.5781240768523676e-4,2.576162871708815e-4,2.5807151727536996e-4,7.468972328170613e-7,5.698781754769e-7,1.0400966825211388e-6
snoc (build n)/1000/PVector snoc,1.7890786251605418e-5,1.788293332335787e-5,1.789829630214343e-5,2.548243580945118e-8,1.9608931701571068e-8,3.3944975878128565e-8
snoc (build n)/1000/Seq |>,1.3827471663877326e-5,1.3821518442252874e-5,1.3834129874922184e-5,2.2117210753795868e-8,1.7415517346814854e-8,3.1781354399268235e-8
fromList/1000/Vector,4.008368474346181e-6,4.00631402935353e-6,4.010869791402467e-6,7.72346828448043e-9,5.927096425551634e-9,1.0910522642897276e-8
fromList/1000/PVector,6.937460283061086e-6,6.934845381797896e-6,6.940661840450446e-6,9.841782905733468e-9,7.365160557273023e-9,1.4520378612048354e-8
fromList/1000/Seq,5.756399967759852e-6,5.75472175101318e-6,5.75843065864133e-6,6.277397199629848e-9,5.112472491883376e-9,7.744794199302286e-9
index (middle)/1000/[] (!!),6.193989300723124e-7,6.193384624331727e-7,6.19481413308084e-7,2.347026894624978e-10,1.8935204855713203e-10,3.0042163867965694e-10
index (middle)/1000/Vector,8.327821355332576e-9,8.300948578499885e-9,8.346414834419939e-9,7.3224516924651e-11,5.174367321748123e-11,1.1672645278910504e-10
index (middle)/1000/PVector,1.1132260647213923e-8,1.1084188500438054e-8,1.1180853125130542e-8,1.666909344390805e-10,1.5534620030082428e-10,1.7981563777867532e-10
index (middle)/1000/Seq,4.564919983143672e-8,4.559434126312501e-8,4.5710878211662706e-8,1.9373900547004725e-10,1.7009702392282948e-10,2.3271850883925043e-10
head/1000/[],7.455754150364164e-9,7.42893250107854e-9,7.477385508470444e-9,8.590089178364059e-11,7.497199137608802e-11,1.0641072078673528e-10
head/1000/Vector,7.241086492373762e-9,7.235958867207502e-9,7.26513802271427e-9,2.970825399289724e-11,4.235450584599959e-12,6.69175333841353e-11
head/1000/PVector,1.1109188012524827e-8,1.1053803402415602e-8,1.116791285056805e-8,1.8791612697202062e-10,1.5916314759908782e-10,2.2926484763211574e-10
head/1000/Seq,1.0675918898863947e-8,1.0670353419824253e-8,1.0680595015085994e-8,1.7334232698195697e-11,1.3220874139672795e-11,2.575429345412173e-11
last/1000/[],1.2688484647617192e-6,1.268459313304558e-6,1.269503653896017e-6,1.6554778548379336e-9,8.70967945656019e-10,2.672987744390444e-9
last/1000/Vector,7.480137038374368e-9,7.47818743907144e-9,7.482651455015769e-9,7.266316673909889e-12,5.119998982883145e-12,9.845690071681451e-12
last/1000/PVector,7.952480740621326e-9,7.944425705375736e-9,7.9626454051244e-9,2.942350588405302e-11,2.5081096608219544e-11,3.628778443738695e-11
last/1000/Seq,9.878317681239439e-9,9.874429710566239e-9,9.883505660365198e-9,1.5425396875764194e-11,1.1927493935489207e-11,2.008007802235469e-11
"update (single, middle, nf)/1000/Vector",1.383203904543208e-6,1.3819476811401576e-6,1.3846551699327764e-6,4.5161407817065375e-9,3.697837078152833e-9,6.040388726006936e-9
"update (single, middle, nf)/1000/PVector",4.797766761515449e-6,4.668177245534285e-6,5.107513014934261e-6,6.40334521182174e-7,1.593215422163194e-7,1.3151141161795438e-6
"update (single, middle, nf)/1000/Seq",3.397329886636548e-6,3.390195427209392e-6,3.4114146187028035e-6,3.2263040346146216e-8,2.0737964257415058e-8,5.688482724469613e-8
