Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
cons (build n)/1000/PVector cons,3.4297633236449715e-2,3.386365706609294e-2,3.502173956755653e-2,1.128671247442775e-3,6.736518044247922e-4,1.872303762075033e-3
cons (build n)/1000/Seq <|,1.4406970667371475e-5,1.4401846842372004e-5,1.4413440022966212e-5,1.9695248657382103e-8,1.6304951976462656e-8,2.4249163161992407e-8
replicate/1000/[],4.3153633521976605e-6,4.312264641816414e-6,4.326454691549082e-6,1.686508103391809e-8,4.598328173265977e-9,3.461960418121219e-8
replicate/1000/Vector,1.5953299978612384e-6,1.5923034814931187e-6,1.5987805968866933e-6,1.0490243645160655e-8,8.69577434290967e-9,1.2761338883158503e-8
replicate/1000/PVector,6.189247057010393e-6,6.185491621124292e-6,6.201593091327562e-6,2.1335147357945115e-8,2.981426634757063e-9,4.412433758029651e-8
replicate/1000/Seq,3.2286265959287825e-6,3.228125751376375e-6,3.229151221563822e-6,1.8507243627359662e-9,1.5698708593434134e-9,2.2789153924412306e-9
length/1000/[],1.2905426395252214e-6,1.290456884228401e-6,1.2906688596068258e-6,3.475828042474687e-10,2.51565864456629e-10,4.833079398370409e-10
length/1000/Vector,7.572758556329028e-9,7.571004365879084e-9,7.57500428340837e-9,6.84976456498466e-12,5.122481883242519e-12,9.03409906214927e-12
length/1000/PVector,7.564424702767927e-9,7.562764535732253e-9,7.566794799355317e-9,6.534139050812613e-12,5.01987857809936e-12,8.65007425566936e-12
length/1000/Seq,7.581395972831263e-9,7.57980041852286e-9,7.583144776563325e-9,5.439322902957127e-12,4.7320113750170975e-12,6.43385556224598e-12
null/1000/[],7.683055212455313e-9,7.680427211974168e-9,7.689464051192282e-9,1.3372472733244885e-11,6.452692723919605e-12,2.517410376987482e-11
null/1000/Vector,7.621718437194413e-9,7.61861522363782e-9,7.62487207028323e-9,1.0015538311494892e-11,8.625363826185216e-12,1.2527699131613054e-11
null/1000/PVector,7.980469234348139e-9,7.976620150954146e-9,7.983688216663124e-9,1.1792452234081588e-11,9.795589242688027e-12,1.4120991781992358e-11
null/1000/Seq,7.898111252948623e-9,7.896988370192585e-9,7.900172390283826e-9,5.169327639994724e-12,3.523568866442621e-12,8.516367113974877e-12
chunk foldl' (+)/1000/PVector foldChunks,1.2525244820487137e-6,1.2379409171810276e-6,1.2686986964180124e-6,5.258437340150159e-8,4.4191420687295454e-8,6.312462283084265e-8
unsnoc (drain n)/1000/PVector,9.798782870415948e-6,9.794521478364777e-6,9.803650405820025e-6,1.5696502014547822e-8,1.2757474276670734e-8,1.976941075367908e-8
