Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
append/10000/[],6.824171716188194e-5,6.793334779206621e-5,6.880979200599846e-5,1.4189972103860553e-6,1.0815753685941339e-6,1.978923784658121e-6
filter (> 0) (keeps all)/1000/Seq,1.301900085440515e-5,1.2957647486089396e-5,1.3094032400589575e-5,1.6529036414594483e-7,1.3494627095528103e-7,2.3212054964476256e-7
filter (> 0) (keeps all)/10000/[],6.655741695215721e-5,6.626587706041154e-5,6.69651806919179e-5,8.634027124934906e-7,6.882539352763679e-7,1.0587891675099728e-6
filter (> 0) (keeps all)/10000/Vector,3.1469223763321674e-5,3.1241617348632584e-5,3.174984261383909e-5,6.499136936755576e-7,4.872952849844661e-7,8.987076938838062e-7
append/10000/Vector,3.164908320322469e-5,3.146088477607861e-5,3.185234759381843e-5,6.548060481315131e-7,5.386137972999979e-7,8.278263788633364e-7
filter (> 0) (keeps all)/10000/PVector,1.7522038206981366e-4,1.7464846907936326e-4,1.7611018939231576e-4,1.8035818944390713e-6,1.2755346178139792e-6,2.34004935171266e-6
filter (> 0) (keeps all)/10000/Seq,1.3942014945335832e-4,1.3890328140758355e-4,1.400199606906234e-4,1.4233500698660986e-6,1.11933115165257e-6,1.8311512233402319e-6
filter even (whnf)/100/Vector,2.3687105869111332e-7,2.3615415240724784e-7,2.3793019684681837e-7,2.064197368754543e-9,1.4581351718686528e-9,3.280506862715268e-9
filter even (whnf)/100/PVector,8.334375382442524e-7,8.307582144930214e-7,8.371147235212079e-7,7.970946808941255e-9,6.390639497719341e-9,9.976609312275334e-9
filter even (whnf)/1000/Vector,2.1349941677030585e-6,2.1235003735321858e-6,2.1490669964766754e-6,3.2369814442469205e-8,2.6211064982510612e-8,4.155847632380828e-8
filter even (whnf)/1000/PVector,6.979326254882149e-6,6.9572287943591455e-6,7.014823484205e-6,7.036480479788596e-8,4.4814991798721174e-8,1.149515289435114e-7
filter even (whnf)/10000/Vector,2.1089172384820534e-5,2.0995154739971397e-5,2.1213778110944867e-5,2.735617984101925e-7,2.058602416119716e-7,3.635196752966644e-7
filter even (whnf)/10000/PVector,9.03253980717218e-5,9.002141286067983e-5,9.08148550868513e-5,8.706062605298895e-7,6.345835667913986e-7,1.1595814920757369e-6
"filter (> 0) (keeps all, whnf)/100/Vector",2.1724468351755087e-7,2.1662611610027258e-7,2.180533659061868e-7,1.7948598510016292e-9,1.3939747143336526e-9,2.370969210752863e-9
"filter (> 0) (keeps all, whnf)/100/PVector",1.0231404532449364e-6,1.0204025997261702e-6,1.0276668057450384e-6,9.007637690436393e-9,6.0091072575058324e-9,1.2695351838665052e-8
"filter (> 0) (keeps all, whnf)/1000/Vector",2.0730333128582985e-6,2.06574743478272e-6,2.0823905389830782e-6,2.1322704547266356e-8,1.611340539037087e-8,2.7280273720155513e-8
"filter (> 0) (keeps all, whnf)/1000/PVector",8.47076132894872e-6,8.436110553237355e-6,8.512313645521478e-6,1.0103157512978003e-7,7.754948324967696e-8,1.2712836710289847e-7
"filter (> 0) (keeps all, whnf)/10000/Vector",2.1734340840276598e-5,2.1647920787241764e-5,2.185920523347402e-5,2.537796069606982e-7,1.8523544990557636e-7,4.1808327736695243e-7
"filter (> 0) (keeps all, whnf)/10000/PVector",1.2574397562369836e-4,1.253173344133991e-4,1.2622794095323422e-4,1.1830173407393833e-6,9.455113493701536e-7,1.517671776845252e-6
reverse/100/[],3.3087893340907446e-7,3.298733134982024e-7,3.3183278133793756e-7,2.381648392857218e-9,1.9139261824551537e-9,3.0726075452988206e-9
reverse/100/Vector,2.4774376131633325e-7,2.469430796087991e-7,2.484370669459824e-7,1.7993144975156127e-9,1.5606529633809404e-9,2.18933632534294e-9
reverse/100/PVector,1.404789384233042e-6,1.396735440561037e-6,1.4129775774462815e-6,2.1459900210116054e-8,1.5699697429562017e-8,2.8611505908822137e-8
reverse/100/Seq,1.002506196418662e-6,9.986438595430477e-7,1.009401436116366e-6,1.2615408146208301e-8,5.928663798310107e-9,1.8937296198373675e-8
reverse/1000/[],3.5543403737545948e-6,3.5454415095251038e-6,3.5642323456301845e-6,2.4165704482410136e-8,1.9865039531631946e-8,3.114890748704455e-8
reverse/1000/Vector,2.404124702220747e-6,2.3956592355327874e-6,2.4151388293236366e-6,2.503522269331458e-8,1.8898812743621883e-8,4.019214871554087e-8
reverse/1000/PVector,1.143901549938826e-5,1.1414105956104084e-5,1.1474918106025091e-5,7.250491905943955e-8,4.7600542000481575e-8,1.0404397105459873e-7
reverse/1000/Seq,1.0143244944896496e-5,1.0130316341534043e-5,1.0163395602440335e-5,4.218751331000719e-8,3.124960402801167e-8,6.017019661477408e-8
reverse/10000/[],3.9498633975727005e-5,3.946479099793056e-5,3.955057267816328e-5,1.0759086404178694e-7,7.436678362547054e-8,1.7749549057256507e-7
reverse/10000/Vector,2.3991958913200524e-5,2.3889140125618365e-5,2.405850225702675e-5,2.0591819909879235e-7,1.2913280616754903e-7,3.016094499902509e-7
reverse/10000/PVector,1.3299803415148384e-4,1.3276187200289712e-4,1.3359945197036967e-4,8.81665407047294e-7,4.041210416529013e-7,1.7615971929074173e-6
reverse/10000/Seq,1.0096957935225386e-4,1.0069556429378956e-4,1.0126593615753794e-4,7.311202297191964e-7,5.739944098473874e-7,1.079595226763419e-6
take (n/2)/100/[],2.61850440152156e-7,2.5958079922039346e-7,2.6305044386093597e-7,3.953284159464235e-9,2.293326447151332e-9,6.683192767603213e-9
take (n/2)/100/Vector,5.164420686315404e-8,5.162601673330501e-8,5.168272968011431e-8,6.019541521053633e-11,3.579445629977118e-11,1.0659016244072253e-10
take (n/2)/100/PVector,9.773020881123885e-7,9.762062771468328e-7,9.795013995628055e-7,3.88348768207751e-9,2.072411417559437e-9,5.814475482289063e-9
take (n/2)/100/Seq,1.9421356567886666e-7,1.9378993573902298e-7,1.9473876627210492e-7,1.2087309122849112e-9,9.053999167816549e-10,1.5420145008330843e-9
take (n/2)/1000/[],2.4579115933652718e-6,2.444432252446212e-6,2.489397412414717e-6,4.870043040190897e-8,1.909305089100521e-8,7.439293873200567e-8
